Date,Price,Open,High,Low,Vol.,Change %
"Jun 26, 2014",992.67,988.73,993.48,988.01,637.48M,0.69%
"Jun 27, 2014",997.61,994.70,1003.08,988.63,568.19M,0.50%
"Jun 30, 2014",999.62,1001.50,1004.79,997.70,652.01M,0.20%
"Jul 02, 2014",1002.53,1003.49,1005.29,998.94,1.08B,0.29%
"Jul 03, 2014",1002.99,1002.81,1005.51,999.16,811.67M,0.05%
"Jul 04, 2014",1003.64,1006.53,1011.06,1003.53,1.17B,0.06%
"Jul 07, 2014",1009.18,1007.27,1012.04,1005.40,705.82M,0.55%
"Jul 08, 2014",1013.82,1011.66,1017.93,1011.03,945.04M,0.46%
"Jul 09, 2014",1013.12,1011.87,1017.30,1010.68,545.60M,-0.07%
"Jul 10, 2014",1021.06,1017.62,1022.28,1016.56,855.64M,0.78%
"Jul 14, 2014",1029.68,1026.26,1032.20,1024.79,1.04B,0.84%
"Jul 15, 2014",1026.21,1032.55,1032.90,1023.47,1.30B,-0.34%
"Jul 16, 2014",1029.54,1027.98,1033.44,1025.81,1.34B,0.32%
"Jul 17, 2014",1033.07,1028.14,1033.07,1025.53,2.12B,0.34%
"Jul 18, 2014",1030.19,1030.63,1034.91,1023.45,1.90B,-0.28%
